LocationIdentifier,LocationName,Island,LatDecDeg,LongDecDeg,CP,CP Result,Ent,Enterococcus,Sample No,Date,Time,Temperature,Salinity,DO,DissolvedOxygenSaturation,pH,Turbidity,Comments
177,Punaluu Beach Park,Oahu,21.577031,-157.8817,<,1,,10,JL04091901,4/9/19,8:10 AM,24.2,32.04,5.91,84.6,8.05,4.39,mostly cloudy; light wind; stream flowing (right); debris
253,Kokololio,Oahu,21.625172,-157.919706,,1,,2.3,JL04091902,4/9/19,8:41 AM,24.6,34.73,6.38,93.4,8.11,4.09,mostly cloudy; light wind; small shore break
263,Turtle Bay,Oahu,21.704028,-157.998594,<,1,,10,JL04091903,4/9/19,9:21 AM,24.5,34.8,6.44,94.1,8.19,1.05,"mostly cloudy; light wind; shallow, tidepool area; beach goers"
289,Pipeline,Oahu,21.664467,-158.052514,<,1,,64,JL04091904,4/9/19,9:51 AM,24.8,35.15,6.33,93.1,8.16,1.33,mostly cloudy; light wind; waves; surfers; beach goers
265,Pupukea at Shark's Cove,Oahu,21.646081,-158.063714,<,1,,2.3,JL04091905,4/9/19,10:16 AM,24.9,35.01,6.23,91.8,8.15,1.52,mostly cloudy; light wind; waves; beach goers
171,Haleiwa Beach Park,Oahu,21.5984,-158.103572,<,1,,2.3,JL04091906,4/9/19,10:40 AM,26.4,34.04,8.35,125.5,8.29,2.19,"partly cloudy/sunny; shallow, tidepool area; beach goers"
249,Maipalaoa Beach,Oahu,21.404692,-158.177739,<,1,,2.3,MLH04091901,4/9/19,9:20 AM,25.3,35.16,7.49,111.2,8.07,2.13,"Êsunny, light wind"
273,Puuohulu Beach,Oahu,21.396475,-158.163731,<,1,,2.3,MLH04091902,4/9/19,9:45 AM,25,35.11,6.81,100.7,8.06,2.53,"Êsunny, light wind"
233,Nanaikapono,Oahu,21.386389,-158.151361,,1,,2.3,MLH04091903,4/9/19,10:15 AM,25.4,34.96,6.56,97.5,8.07,5.28,"Êsunny, light wind"
250,Ulehawa Beach,Oahu,21.382461,-158.147306,<,1,,2.3,MLH04091904,4/9/19,10:45 AM,25.7,35.16,6.53,97.7,8.06,3.58,"Êsunny, light wind, wave action"
155,"Kahanamoku Beach, Waikiki",Oahu,21.281519,-157.839492,<,1,,2.3,SM04091901,4/9/19,8:17 AM,24.8,35.14,6.17,90.9,8.09,15.8,"Êsunny, light breeze, swimmers"
238,"Moana Beach, Waikiki",Oahu,21.276658,-157.8279,<,1,,2.3,SM04091902,4/9/19,8:40 AM,24.7,35.19,6.49,95.5,8.09,2.98,"Êsunny, light breeze, swimmers"
161,"Kuhio Beach, Waikiki",Oahu,21.271483,-157.823031,<,1,,2.3,SM04091903,4/9/19,8:51 AM,25.3,35.19,6.5,96.5,8.05,2.6,"Êsunny, light breeze, swimmers"
228,Sans Souci,Oahu,21.263553,-157.822033,,1,,2.3,SM04091904,4/9/19,9:03 AM,25.5,35.29,5.63,84,8.05,1.99,"Êsunny, light breeze, swimmers"
222,Ala Moana Lagoon,Oahu,21.283056,-157.846222,<,1,,2.3,SM04091905,4/9/19,9:40 AM,25.8,35.19,6.79,101.7,8.13,3.46,"Êsunny, light breeze, swimmers"
154,"Ala Moana Park, D.H.",Oahu,21.287458,-157.846167,<,1,,2.3,SM04091906,4/9/19,9:58 AM,26.2,35.23,6.37,96,8.12,2.37,"Êsunny, light breeze, swimmers"
153,"Ala Moana Park, Center",Oahu,21.289447,-157.849822,,1,,2.3,SM04091907,4/9/19,10:10 AM,26.6,35.07,7.47,113.3,8.18,4.53,"Êsunny, light breeze, swimmers"
387,Oneawa at Castles,Oahu,21.418358,-157.744403,<,1,,2.3,SP04091901,4/9/19,8:31 AM,25.8,34.81,6.33,94.6,8.09,8.32,"Êpartly sunny, windy, beach goers"
207,Kalama Beach,Oahu,21.406114,-157.739422,,1,,2.3,SP04091902,4/9/19,8:59 AM,26.4,34.82,6.18,93.3,8.1,7.72,"Êpartly sunny, breezy, beach goers"
195,Bellow's Field Beach,Oahu,21.354469,-157.707225,,,,,SP04091903,4/9/19,,,,,,,,"No sample taken, access closed"
226,Waimanalo State Park,Oahu,21.347389,-157.703639,,1,,2.3,SP04091904,4/9/19,9:53 AM,26.3,35,6.25,94.4,8.09,10.1,"Êpartly cloudy, breezy, beach goers"
229,Hawaii Kai,Oahu,21.281789,-157.713781,<,1,,2.3,SP04091905,4/9/19,10:38 AM,25.6,35.34,6.1,91.2,8.08,9.32,"Êpartly sunny, light breeze"
193,Kailua Beach Park,Oahu,21.398494,-157.727858,<,1,,2.3,JL04081901,4/8/19,8:30 AM,25.7,35.44,5.95,89.1,8.05,3.46,mostly cloudy; swimmer; beach goers; dog
194,Lanikai Beach Shoreline,Oahu,21.391961,-157.714922,,1,,2.3,JL04081902,4/8/19,8:04 AM,25.5,35.4,6.01,89.7,7.97,2.57,mostly cloudy; beach goers; dogsÊ
197,Waimanalo Beach,Oahu,21.332461,-157.693417,,1,,2.3,JL04081903,4/8/19,9:07 AM,26,35.25,6.31,94.9,8.07,6.48,partly sunny/cloudy; green tintÊ
216,Makapuu,Oahu,21.312022,-157.660525,<,1,,2.3,JL04081904,4/8/19,9:34 AM,25.3,35.27,6.43,95.6,8.13,2.07,mostly cloudy; swimmers; beach goersÊ
200,Sandy Beach Pt. No. 1,Oahu,21.285647,-157.672783,,1,,2.3,JL04081905,4/8/19,9:57 AM,24.7,35.11,6.41,94.1,8.12,3.54,partly sunny/cloudy; swimmers; beach goers; small shore breakÊ
201,Hanauma Beach Park,Oahu,21.271522,-157.696553,<,1,,10,JL04081906,4/8/19,10:22 AM,26,35.23,6.63,99.8,8.07,2.18,partly sunny/cloudy; lots of swimmers & beach goersÊ
208,Kualoa Beach,Oahu,21.514211,-157.836136,<,1,,2.3,MLH04081901,4/8/19,8:40 AM,26.5,34.91,8.64,130.9,8.19,3.48,"Êsunny, light wind"
225,Sunset Beach,Oahu,21.673564,-158.041194,<,1,,2.3,MLH04081902,4/8/19,9:40 AM,25,35.16,6.5,96.1,8.17,3.34,"Êsunny, light wind, wave action"
172,Waimea Bay Shoreline,Oahu,21.639736,-158.063667,<,1,,2.3,MLH04081903,4/8/19,10:00 AM,25.1,34.69,6.52,96.3,8.15,9.06,"Êsunny, light wind, swimmers, wave action, stream not running"
218,Chun's Reef,Oahu,21.62155,-158.082028,<,1,,2.3,MLH04081904,4/8/19,10:25 AM,24.9,31.35,6.74,97.3,8.21,3.37,"Êsunny, moderate onshores, wave action"
